profile,component,cycles:u,instructions:u,mem_inst_retired.all_loads:u,mem_inst_retired.all_stores:u,ipc
768-gt32-clean,q24_unpack_m,148.700927734375,546.000244140625,140.000732421875,49.0,3.671801194918886
768-official-caller-building-blocks,hash_f,10700.1416015625,25138.00634765625,3391.00537109375,317.0,2.3493152972840514
768-official-caller-building-blocks,hash_g,11926.998291015625,28088.0048828125,3767.005859375,393.0,2.3549936201441937
768-official-caller-building-blocks,hash_h,2395.998779296875,5780.999267578125,783.0009765625,124.0,2.41277220903869
768-official-caller-building-blocks,poly_add,-52.632080078125,-137.001708984375,45.999755859375,40.0,2.6030076862061127
768-official-caller-building-blocks,poly_sub,-44.62353515625,-101.00244140625,51.999755859375,41.0,2.263434330171027
768-official-caller-building-blocks,sotp_decode,55.99609375,205.9970703125,46.0,21.0,3.678775723753052
768-official-caller-building-blocks,sotp_encode,0.005126953125,92.99951171875,-25.999755859375,42.0,18139.333333333332
768-official-v3,baseinv,915.464599609375,2295.997802734375,232.00048828125,325.0,2.5080137492089456
768-official-v3,basemul,363.930419921875,1239.99951171875,146.000244140625,80.0,3.4072433735683347
768-official-v3,basemul_scale,273.762939453125,932.998291015625,102.0,33.0,3.4080518454375284
768-official-v3,forward_small,594.0068359375,1740.000244140625,207.000244140625,224.0,2.9292596294694895
768-official-v3,inverse,639.3056640625,2162.99951171875,234.000244140625,228.0,3.3833573411095106
768-official-v3,poly_frombytes,13.20556640625,83.99755859375,-32.0,36.0,6.36076908855611
768-official-v3,poly_tobytes,87.570068359375,296.998046875,-18.999755859375,25.0,3.391547505206489
864-d3-mr32-v2,d3_baseline,31.924560546875,81.997802734375,30.000244140625,8.0,2.568486498474339
864-d3-mr32-v2,d3_mr32,47.02685546875,124.9990234375,63.000244140625,3.0,2.658034907746779
864-official-caller-building-blocks,hash_f,11904.181396484375,27939.005859375,3771.00634765625,349.0,2.346990937791501
864-official-caller-building-blocks,hash_g,13155.2529296875,30920.00927734375,4153.006591796875,432.0,2.3503926106632638
864-official-caller-building-blocks,hash_h,3542.15478515625,8484.003173828125,1124.001708984375,143.0,2.3951531450238086
864-official-caller-building-blocks,poly_add,-41.020751953125,-113.998291015625,58.00048828125,46.0,2.779039524821302
864-official-caller-building-blocks,poly_sub,-40.624267578125,-77.996337890625,64.0,47.0,1.919944470152707
864-official-caller-building-blocks,sotp_decode,102.955322265625,349.00146484375,92.0,36.0,3.3898341257514137
864-official-caller-building-blocks,sotp_encode,37.717041015625,201.004150390625,-23.0,58.0,5.329266161344821
864-official-v3,baseinv,824.7998046875,2362.001953125,291.0009765625,394.0,2.863727585410759
864-official-v3,basemul,307.39599609375,1094.9990234375,121.000732421875,92.0,3.562177248084734
864-official-v3,basemul_scale,206.482421875,738.00048828125,71.000244140625,39.0,3.574156490318675
864-official-v3,forward_small,725.88134765625,2309.001708984375,275.00048828125,256.0,3.180962999586306
864-official-v3,inverse,831.95849609375,2783.00146484375,302.000732421875,260.0,3.345120553381722
864-official-v3,poly_frombytes,315.213623046875,1004.998046875,40.000732421875,102.0,3.18830778048431
864-official-v3,poly_tobytes,348.462158203125,1226.001708984375,51.00048828125,91.0,3.518320942814445
