profile,parameter,implementation,benchmark_class,operation,observations,stq1,stq2,stq3
768-official-common-v3,768,avx2,supercop-derived-poly,poly_tobytes_cycles,864,417.6759259259259,423.22685185185185,429.6388888888889
768-official-common-v3,768,avx2,supercop-derived-poly,sotp_decode_cycles,864,347.625,352.47222222222223,357.26851851851853
768-official-common-v3,768,avx2,supercop-derived-poly,sotp_encode_cycles,864,309.6990740740741,315.712962962963,321.162037037037
864-official-common-v3,864,avx2,supercop-derived-poly,baseinv_cycles,864,1176.3935185185185,1185.9583333333333,1195.712962962963
864-official-common-v3,864,avx2,supercop-derived-poly,basemul_cycles,864,649.5,656.9305555555555,666.425925925926
864-official-common-v3,864,avx2,supercop-derived-poly,basemul_scale_cycles,864,560.5138888888889,564.1620370370371,568.074074074074
864-official-common-v3,864,avx2,supercop-derived-poly,cbd1_cycles,864,344.47685185185185,349.837962962963,356.625
864-official-common-v3,864,avx2,supercop-derived-poly,crepmod3_cycles,864,456.5416666666667,461.47685185185185,466.75925925925924
864-official-common-v3,864,avx2,supercop-derived-poly,forward_general_cycles,864,1111.8055555555557,1122.4212962962963,1133.4537037037037
864-official-common-v3,864,avx2,supercop-derived-poly,forward_small_cycles,864,1114.763888888889,1125.6851851851852,1136.9305555555557
864-official-common-v3,864,avx2,supercop-derived-poly,hash_f_cycles,864,12072.981481481482,12139.203703703704,12181.018518518518
864-official-common-v3,864,avx2,supercop-derived-poly,hash_g_cycles,864,13266.888888888889,13354.263888888889,13401.152777777777
864-official-common-v3,864,avx2,supercop-derived-poly,hash_h_cycles,864,3808.5138888888887,3835.939814814815,3859.453703703704
864-official-common-v3,864,avx2,supercop-derived-poly,inverse_cycles,864,1172.5185185185185,1183.7314814814815,1196.2962962962963
864-official-common-v3,864,avx2,supercop-derived-poly,poly_add_cycles,864,236.7685185185185,240.47222222222223,244.75925925925927
864-official-common-v3,864,avx2,supercop-derived-poly,poly_frombytes_cycles,864,637.050925925926,642.5138888888889,648.7731481481482
864-official-common-v3,864,avx2,supercop-derived-poly,poly_mul_general_cycles,864,3285.310185185185,3305.5046296296296,3327.222222222222
864-official-common-v3,864,avx2,supercop-derived-poly,poly_mul_small_cycles,864,3294.902777777778,3315.3055555555557,3338.277777777778
864-official-common-v3,864,avx2,supercop-derived-poly,poly_sub_cycles,864,236.95833333333334,240.83796296296296,245.51388888888889
864-official-common-v3,864,avx2,supercop-derived-poly,poly_tobytes_cycles,864,688.2407407407408,694.699074074074,701.4814814814815
864-official-common-v3,864,avx2,supercop-derived-poly,sotp_decode_cycles,864,395.22222222222223,399.0925925925926,403.625
864-official-common-v3,864,avx2,supercop-derived-poly,sotp_encode_cycles,864,360.8888888888889,367.4861111111111,372.84722222222223
1152-official-common-v3,1152,avx2,supercop-derived-poly,baseinv_cycles,864,1580.273148148148,1590.1203703703704,1608.0833333333333
1152-official-common-v3,1152,avx2,supercop-derived-poly,basemul_cycles,864,959.8888888888889,965.125,971.0694444444445
1152-official-common-v3,1152,avx2,supercop-derived-poly,basemul_scale_cycles,864,834.5694444444445,837.0879629629629,840.675925925926
1152-official-common-v3,1152,avx2,supercop-derived-poly,cbd1_cycles,864,412.8009259259259,431.97685185185185,449.212962962963
1152-official-common-v3,1152,avx2,supercop-derived-poly,crepmod3_cycles,864,551.5092592592592,556.6203703703703,561.9722222222222
1152-official-common-v3,1152,avx2,supercop-derived-poly,forward_general_cycles,864,1423.7407407407406,1435.5277777777778,1448.8287037037037
1152-official-common-v3,1152,avx2,supercop-derived-poly,forward_small_cycles,864,1422.148148148148,1433.4398148148148,1445.1851851851852
1152-official-common-v3,1152,avx2,supercop-derived-poly,hash_f_cycles,864,15515.63425925926,15642.25925925926,15755.787037037036
1152-official-common-v3,1152,avx2,supercop-derived-poly,hash_g_cycles,864,17889.152777777777,18057.61574074074,18149.37037037037
1152-official-common-v3,1152,avx2,supercop-derived-poly,hash_h_cycles,864,4853.273148148148,4901.347222222223,4968.356481481482
1152-official-common-v3,1152,avx2,supercop-derived-poly,inverse_cycles,864,1475.9212962962963,1487.1574074074074,1499.8703703703704
1152-official-common-v3,1152,avx2,supercop-derived-poly,poly_add_cycles,864,272.2546296296296,276.787037037037,281.02314814814815
1152-official-common-v3,1152,avx2,supercop-derived-poly,poly_frombytes_cycles,864,420.9861111111111,424.02777777777777,427.68981481481484
1152-official-common-v3,1152,avx2,supercop-derived-poly,poly_mul_general_cycles,864,4471.430555555556,4496.986111111111,4525.550925925926
1152-official-common-v3,1152,avx2,supercop-derived-poly,poly_mul_small_cycles,864,4481.990740740741,4509.689814814815,4539.439814814815
1152-official-common-v3,1152,avx2,supercop-derived-poly,poly_sub_cycles,864,271.23148148148147,276.31018518518516,282.06018518518516
1152-official-common-v3,1152,avx2,supercop-derived-poly,poly_tobytes_cycles,864,525.1388888888889,528.25,531.9861111111111
1152-official-common-v3,1152,avx2,supercop-derived-poly,sotp_decode_cycles,864,434.8703703703704,439.39814814814815,444.0833333333333
1152-official-common-v3,1152,avx2,supercop-derived-poly,sotp_encode_cycles,864,378.93981481481484,382.587962962963,389.26851851851853
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,baseinv_j1_cycles,864,1193.6805555555557,1200.662037037037,1208.1203703703704
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,basemul_f0_j1_cycles,864,607.3333333333334,612.5555555555555,621.3148148148148
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,basemul_general_m_cycles,864,709.2268518518518,717.925925925926,727.0601851851852
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,basemul_scale_m_cycles,864,629.0925925925926,632.4675925925926,636.7407407407408
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,forward_frontend_cycles,864,450.5138888888889,455.4212962962963,461.162037037037
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,forward_m_full_cycles,864,877.3194444444445,886.7129629629629,896.4351851851852
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,forward_m_terminal_cycles,864,628.2037037037037,636.4351851851852,647.2916666666666
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,forward_p_full_cycles,864,892.4305555555555,902.3472222222222,913.2685185185185
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,forward_p_terminal_cycles,864,638.8796296296297,647.9398148148148,657.0416666666666
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,inverse_m_core_cycles,864,604.5231481481482,613.7314814814815,623.6203703703703
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,inverse_m_full_cycles,864,962.1388888888889,972.699074074074,986.8796296296297
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,inverse_m_tail_cycles,864,580.7361111111111,587.0879629629629,594.0972222222222
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,q24_equal_m_cycles,864,330.3287037037037,336.6296296296296,342.39351851851853
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,q24_pack_m_centered_cycles,864,412.74074074074076,419.75,426.4583333333333
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,q24_pack_m_highrange_cycles,864,477.7037037037037,482.7824074074074,489.38425925925924
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,q24_pack_m_lazy_cycles,864,481.0138888888889,486.26851851851853,491.94444444444446
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,q24_pack_p_cycles,864,448.06481481481484,453.93518518518516,461.9074074074074
768-gt32-private,768,avx2-gt32-clean,supercop-derived-component-768,q24_unpack_m_cycles,864,387.47222222222223,396.77777777777777,409.8425925925926
864-d3-mr32-v2,864,avx2-d3-mr32-research,supercop-derived-component-864-d3-research,d3_packed_t3_baseline_cycles,864,242.22222222222223,246.46296296296296,251.51388888888889
864-d3-mr32-v2,864,avx2-d3-mr32-research,supercop-derived-component-864-d3-research,d3_packed_t3_mr32_cycles,864,261.72222222222223,266.087962962963,270.1712962962963
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,gt_forward_full_cycles,864,1477.013888888889,1489.0694444444443,1501.6898148148148
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,h4_exact_egress_cycles,864,1975.638888888889,1986.7453703703704,1999.3796296296296
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,official_forward_cycles,864,1472.9675925925926,1491.8935185185185,1523.5092592592594
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,official_tail_cycles,864,1624.4212962962963,1632.9675925925926,1643.7083333333333
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,serializer_v2_cycles,864,670.8564814814815,682.074074074074,697.3935185185185
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,serializer_v2_hash_g_cycles,864,18239.11111111111,18444.912037037036,18528.61574074074
1152-exp017-current,1152,avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831,supercop-derived-component-1152-current,top_split_cycles,864,305.86574074074076,311.44444444444446,322.81018518518516
