parameter,operation,stage,measurement_role,profile,label,stq2_cycles,cumulative_cutpoint
864,keypair,forward_one_polynomial,isolated-building-block,864-official-common-v3,forward_small_cycles,1125.6851851851852,no
864,keypair,baseinv_one_polynomial,isolated-building-block,864-official-common-v3,baseinv_cycles,1185.9583333333333,no
864,keypair,basemul_one_product,isolated-building-block,864-official-common-v3,basemul_cycles,656.9305555555555,no
864,keypair,serialize_one_polynomial,isolated-building-block,864-official-common-v3,poly_tobytes_cycles,694.699074074074,no
864,keypair,hash_f,isolated-building-block,864-official-common-v3,hash_f_cycles,12139.203703703704,no
864,keypair,native_total,supercop-native-kem,864-official,keypair_cycles,23832.439814814814,yes-total-only
864,encap,public_key_decode,isolated-building-block,864-official-common-v3,poly_frombytes_cycles,642.5138888888889,no
864,encap,prehash_hash_f,isolated-building-block,864-official-common-v3,hash_f_cycles,12139.203703703704,no
864,encap,prehash_hash_h,isolated-building-block,864-official-common-v3,hash_h_cycles,3835.939814814815,no
864,encap,cbd1,isolated-building-block,864-official-common-v3,cbd1_cycles,349.837962962963,no
864,encap,forward_one_polynomial,isolated-building-block,864-official-common-v3,forward_small_cycles,1125.6851851851852,no
864,encap,serialize_r,isolated-building-block,864-official-common-v3,poly_tobytes_cycles,694.699074074074,no
864,encap,hash_g,isolated-building-block,864-official-common-v3,hash_g_cycles,13354.263888888889,no
864,encap,sotp_encode,isolated-building-block,864-official-common-v3,sotp_encode_cycles,367.4861111111111,no
864,encap,basemul_one_product,isolated-building-block,864-official-common-v3,basemul_cycles,656.9305555555555,no
864,encap,poly_add,isolated-building-block,864-official-common-v3,poly_add_cycles,240.47222222222223,no
864,encap,ciphertext_serialize,isolated-building-block,864-official-common-v3,poly_tobytes_cycles,694.699074074074,no
864,encap,native_total,supercop-native-kem,864-official,enc_cycles,32969.18981481482,yes-total-only
864,decap,decode_one_polynomial,isolated-building-block,864-official-common-v3,poly_frombytes_cycles,642.5138888888889,no
864,decap,basemul_scale,isolated-building-block,864-official-common-v3,basemul_scale_cycles,564.1620370370371,no
864,decap,inverse,isolated-building-block,864-official-common-v3,inverse_cycles,1183.7314814814815,no
864,decap,crepmod3,isolated-building-block,864-official-common-v3,crepmod3_cycles,461.47685185185185,no
864,decap,message_forward,isolated-building-block,864-official-common-v3,forward_small_cycles,1125.6851851851852,no
864,decap,poly_sub,isolated-building-block,864-official-common-v3,poly_sub_cycles,240.83796296296296,no
864,decap,recovery_basemul,isolated-building-block,864-official-common-v3,basemul_cycles,656.9305555555555,no
864,decap,recovered_r_serialize,isolated-building-block,864-official-common-v3,poly_tobytes_cycles,694.699074074074,no
864,decap,hash_g,isolated-building-block,864-official-common-v3,hash_g_cycles,13354.263888888889,no
864,decap,sotp_decode,isolated-building-block,864-official-common-v3,sotp_decode_cycles,399.0925925925926,no
864,decap,hash_h,isolated-building-block,864-official-common-v3,hash_h_cycles,3835.939814814815,no
864,decap,reencryption_forward,isolated-building-block,864-official-common-v3,forward_small_cycles,1125.6851851851852,no
864,decap,native_total,supercop-native-kem,864-official,dec_cycles,23776.837962962964,yes-total-only
1152,keypair,sample_one_polynomial_cbd1,isolated-building-block,1152-official-common-v3,cbd1_cycles,431.97685185185185,no
1152,keypair,forward_one_polynomial,isolated-building-block,1152-official-common-v3,forward_small_cycles,1433.4398148148148,no
1152,keypair,baseinv_one_polynomial,isolated-building-block,1152-official-common-v3,baseinv_cycles,1590.1203703703704,no
1152,keypair,basemul_one_product,isolated-building-block,1152-official-common-v3,basemul_cycles,965.125,no
1152,keypair,serialize_one_polynomial,isolated-building-block,1152-official-common-v3,poly_tobytes_cycles,528.25,no
1152,keypair,hash_f,isolated-building-block,1152-official-common-v3,hash_f_cycles,15642.25925925926,no
1152,keypair,native_total,supercop-native-kem,1152-official,keypair_cycles,34394.51388888889,yes-total-only
1152,encap,public_key_decode,isolated-building-block,1152-official-common-v3,poly_frombytes_cycles,424.02777777777777,no
1152,encap,prehash_hash_f,isolated-building-block,1152-official-common-v3,hash_f_cycles,15642.25925925926,no
1152,encap,prehash_hash_h,isolated-building-block,1152-official-common-v3,hash_h_cycles,4901.347222222223,no
1152,encap,cbd1,isolated-building-block,1152-official-common-v3,cbd1_cycles,431.97685185185185,no
1152,encap,forward_one_polynomial,isolated-building-block,1152-official-common-v3,forward_small_cycles,1433.4398148148148,no
1152,encap,serialize_r,isolated-building-block,1152-official-common-v3,poly_tobytes_cycles,528.25,no
1152,encap,hash_g,isolated-building-block,1152-official-common-v3,hash_g_cycles,18057.61574074074,no
1152,encap,sotp_encode,isolated-building-block,1152-official-common-v3,sotp_encode_cycles,382.587962962963,no
1152,encap,basemul_one_product,isolated-building-block,1152-official-common-v3,basemul_cycles,965.125,no
1152,encap,poly_add,isolated-building-block,1152-official-common-v3,poly_add_cycles,276.787037037037,no
1152,encap,ciphertext_serialize,isolated-building-block,1152-official-common-v3,poly_tobytes_cycles,528.25,no
1152,encap,native_total,supercop-native-kem,1152-official,enc_cycles,43035.34259259259,yes-total-only
1152,decap,decode_one_polynomial,isolated-building-block,1152-official-common-v3,poly_frombytes_cycles,424.02777777777777,no
1152,decap,basemul_scale,isolated-building-block,1152-official-common-v3,basemul_scale_cycles,837.0879629629629,no
1152,decap,inverse,isolated-building-block,1152-official-common-v3,inverse_cycles,1487.1574074074074,no
1152,decap,crepmod3,isolated-building-block,1152-official-common-v3,crepmod3_cycles,556.6203703703703,no
1152,decap,message_forward,isolated-building-block,1152-official-common-v3,forward_small_cycles,1433.4398148148148,no
1152,decap,poly_sub,isolated-building-block,1152-official-common-v3,poly_sub_cycles,276.31018518518516,no
1152,decap,recovery_basemul,isolated-building-block,1152-official-common-v3,basemul_cycles,965.125,no
1152,decap,recovered_r_serialize,isolated-building-block,1152-official-common-v3,poly_tobytes_cycles,528.25,no
1152,decap,hash_g,isolated-building-block,1152-official-common-v3,hash_g_cycles,18057.61574074074,no
1152,decap,sotp_decode,isolated-building-block,1152-official-common-v3,sotp_decode_cycles,439.39814814814815,no
1152,decap,hash_h,isolated-building-block,1152-official-common-v3,hash_h_cycles,4901.347222222223,no
1152,decap,reencryption_forward,isolated-building-block,1152-official-common-v3,forward_small_cycles,1433.4398148148148,no
1152,decap,native_total,supercop-native-kem,1152-official,dec_cycles,30534.185185185186,yes-total-only
